channelid,categoryid,subscribercount
UCy4DstXG8Sxx-gqVOtY_pMg,20,1460
UCy1F61QvUUQXAXi2Voa_fUw,17,180951
UC58k_P0vo3pibDwW-Zna68Q,1,1
UCq5STAGBJGgTfSVk30T5yWQ,26,749
UCU8NCah8lbB_e6mY8CqhDRA,10,16852
UC-gUD1u77R_fCYU5VJoe7zg,17,3694
UCR4DZnk4TP-WYtf8wB55h5g,22,146
UCqBNcBqhybw0vfqtpDgJ-Pw,10,250
UC0Ec7aNF-i67aWHH6-BKQwg,24,625
UCTn9b_cuSTtsDVNOo4EWKzg,1,775
UCbiPCnUx3WWb2h4H1R4uLBQ,2,103
UCn9atqScyXLGnjNQ_DEXQ5w,20,233974
UCwyZMvRDBleBvllMYN2EoGQ,22,13826
UCr4caF0n0P5kExMR8uWERJQ,25,2510
UCCVLeCM2GmwjDg2elXqojcg,10,812
UCfMnYQQtNI-jRwX1LSp4QXA,1,14788
UCfUuMpX38c9_7jaCEYiDdkA,17,0
UCxhns6nPe8EeAM1yD1tJgBA,2,943
UCCkPbbLX7JCnEhnknohzT1w,24,818
UCmI-YXEUHMu0ao7kKjuTAgQ,2,0
UC9PILq9AJuk2ZYkD69Qo9nA,22,171
UCnJutVTtn3ZXyapoGUmuRTA,20,113544
UCOeIQDlcWZk7n6S4-soaAGg,24,269
UCpa-hho2NHxC47LYmGixGEw,10,247
UCeXY-D7RTVIIOuKP9HB35Ig,17,12
UCe0eBOd5v3GOWTCFX-HxKsw,17,6
UC9Yi_hWXTZlMVZSAvTBLBnw,17,9
UCEioe55oIi8WGww0S9HtpzA,10,120
UCttWHTSCu8IRnxZQ7SB6n0A,20,10450
UCpiK1YCS2GnYUVN_UCrT5Ng,2,860
UCJlKhBw4YLmG5gy6OYuOl_A,10,760
UC-H-A3Uwh1p0yz-ZBocFK7Q,10,29
UCsWWKbPsXvPm6gbc8NDLZLA,22,38
UCHVLKtu4iaKfBUscsxb510w,10,2248
UCHIwQiZhIn6fm5b_IilqBbQ,20,5449122
UCAQsSq6zk_RLaYIfRPrqE3w,19,10
UCcw1Qs2-_gZA4s51BkCdseQ,20,73
UCRxDTCmIjgli-Xgh2KPE9dA,1,609641
UCt4uUPXTEgGwEZbchC1VAYA,20,49097
UCUtZaxDF3hD5VK4xRYFBePQ,24,8109841
UCtnboZiB_Nqif-YNtp4aB7A,24,1043486
UC7W4SLNcEGIb9iq4-XtaNng,17,1
UCMATRiSVZ2ISwBHQiNkFWrw,24,1453
UCm68FLDkrkxJ7SdoDSMnJpg,1,214
UCnwgxNhrMK4CxQxgDuE3zvw,10,4318
UC_BaxRhNREI_V0DVXjXDALA,2,422973
UCl9wrgGC2MAEfl6PqbFfR_A,10,271
UCnUU48FFRDsyTC6R90Jvqwg,26,1463
UCeR4TZywTWya4zo38b_8hdg,10,8934
UCNW-XFAFkHcLmD_PhY8O9hA,19,10
UCp1b_STYnVuWnn4YRJ9Cbhw,24,2666
UColGCeicDD7itc3NZ71qeYA,20,1
UCWONS8Rwe3-5Y6h0S5kdyyg,26,9914
UCPeACP9gjNLMPnSH8vk81PA,1,353
UC3g5hdo7-s_dkMuw_QaQBCA,20,5865
UCchiov_1kNqpRaOl_o-DiFA,1,17621
UCzsVtOHj1BU1kFVhzcm2Zgg,28,37949
UCKpjCjPe_-4G8Tp6x_NCOAw,17,6810
UCROGAM2vq9kCLmQ6j4y1xdA,10,1310
UC6-o4kl8D4P1HtouVnWf5tA,28,4730
UCQbXvTBkjb0h0QuRS9l7vNA,29,58
UC7w8GnTF2Sp3wldDMtCCtVw,17,378056
UCl3soA3A1-Rvx0vdoCtBXiA,24,3
UCdRQubBW_YEY9tDFXxqZk7g,26,469
UCju1iuBcl-Jb_di_KQ7CyRg,28,109394
UCltLGEyRxWAoMLGzB9wYlQw,20,2600530
UCjrTCHHo6ArJrszI72J6mtw,17,6131
UCQXI4dGbasH2nMOzZRB2Heg,24,12719
UCy_nPhSXxHnihL-9Phug0AA,22,0
UC46hk4nW8LZ4ciCrLJpLxdw,24,5138
